Localidade,IBGE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Cunhataí,4204756,8790,8014,10622,14824,16592,16610,14035,18206,23267,23322,26496,27294,22047
São Francisco de Assis do Piauí,2209658,3685,3989,4653,6468,7721,8665,9759,12397,12953,14502,17702,20379,22072
Luzinópolis,1712454,3005,4150,5594,7119,8275,10606,12309,15340,15740,16693,18615,20327,22074
Torre de Pedra,3554656,6545,7152,8354,8972,9265,10480,11665,13734,15606,17933,17164,19595,22119
Juazeiro do Piauí,2205516,5499,6659,6492,7234,8640,9413,11569,15080,17731,17746,21254,23397,22180
Nacip Raydan,3144201,5912,6212,7460,8447,8720,9983,11169,12041,13515,16056,18618,19694,22268
Caranaíba,3113107,6416,7181,8270,9751,10041,11590,12475,14135,16332,17305,19398,20800,22307
São João da Ponta,1507466,5633,6779,7992,8647,10470,11669,11848,15758,15642,17324,19329,20865,22314
Frei Lagonegro,3126950,5017,5134,6377,7015,7462,8563,9687,11940,14389,16042,17228,19274,22357
Guarinos,5209457,5729,6198,8020,8832,9267,9677,10512,11428,13640,14347,20974,18467,22364
Doresópolis,3123403,7595,8477,9155,9573,10944,11704,12482,12849,14606,16034,18278,21039,22383
São Miguel da Boa Vista,4217154,7103,8113,9411,11799,12908,11918,14092,14884,20929,20033,23553,24414,22413
Nova Iorque,2107308,6177,7106,8330,9564,10346,10225,11490,13892,14966,16717,17676,22777,22485
Fernão,3515657,6220,7186,8528,10987,10340,12404,14247,16971,17825,15919,23239,22587,22493
Prata,2512200,5646,6485,7222,8448,9337,10537,13639,14829,17169,18089,19349,20483,22506
Sucupira do Riachão,2111953,5513,6707,6751,8427,9360,9197,11596,11569,15212,15995,17208,20531,22529
Poço de José de Moura,2512077,4336,4795,5607,6601,7616,8151,9755,11691,14781,17606,19180,21335,22541
Santana da Ponte Pensa,3547205,7504,9414,11483,11962,12117,12620,13025,15204,17934,19316,21966,23697,22602
Caraúbas,2504074,5586,6664,7156,8476,9320,10957,13021,13815,16907,19338,20110,22636,22632
Cocal dos Alves,2202729,5779,7385,7162,9949,9850,10004,11596,13401,16086,17443,19362,23621,22649
Dom Viçoso,3122801,7091,7688,8548,12561,13300,15675,14187,16844,16540,17674,20021,21031,22651
Presidente Kubitschek,3153301,4591,5229,6340,6959,7241,8359,9380,10725,12719,13832,15217,16712,22662
