Observatório do Plano Nacional de Educação

Produto Interno Bruto (PIB);
PIB;
Localidade;Código IBGE;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;
Japurá;1302108;11691,0;12669,0;16988,0;20986,0;23268,0;26723,0;25255,0;23094,0;25082,0;25540,0;37648,0;43083,0;42525,0;;;;
Juruá;1302207;10346,0;11410,0;15601,0;17797,0;19519,0;22000,0;30513,0;34748,0;35811,0;40123,0;50206,0;58673,0;62579,0;;;;
Jutaí;1302306;35620,0;43107,0;67156,0;70506,0;75524,0;55178,0;61398,0;59160,0;62926,0;68746,0;89924,0;96583,0;106376,0;;;;
Lábrea;1302405;43964,0;48891,0;61828,0;65201,0;64760,0;92330,0;139703,0;174197,0;367686,0;394665,0;284160,0;275665,0;410803,0;;;;
Manacapuru;1302504;127465,0;123683,0;153462,0;178150,0;196090,0;259915,0;333988,0;367190,0;369342,0;398175,0;640545,0;847132,0;834748,0;;;;
Manaquiri;1302553;17638,0;22340,0;29772,0;30895,0;34038,0;46528,0;59372,0;65428,0;71340,0;83035,0;124356,0;127122,0;128834,0;;;;
Manaus;1302603;14094080,0;15196719,0;17777937,0;20597351,0;25466981,0;27517836,0;31801795,0;34384768,0;38028945,0;40482809,0;48435925,0;51031965,0;49824579,0;;;;
Manicoré;1302702;64283,0;67750,0;104948,0;130433,0;106853,0;200906,0;168612,0;135896,0;213833,0;239146,0;368408,0;409911,0;465207,0;;;;
Maraã;1302801;22712,0;24319,0;52155,0;50955,0;54415,0;45093,0;56593,0;58051,0;97544,0;109100,0;83819,0;85244,0;90534,0;;;;
Maués;1302900;62647,0;67705,0;81067,0;92102,0;103770,0;140455,0;179156,0;190100,0;208244,0;227011,0;293089,0;351124,0;328508,0;;;;
Nhamundá;1303007;24202,0;27239,0;36469,0;40379,0;42385,0;67086,0;82100,0;90633,0;80117,0;86487,0;73613,0;96401,0;115864,0;;;;
Nova Olinda do Norte;1303106;44287,0;47921,0;76227,0;81800,0;81207,0;74585,0;93991,0;99527,0;96824,0;108830,0;154057,0;165739,0;165051,0;;;;
Novo Airão;1303205;14512,0;15713,0;20699,0;21578,0;23333,0;22925,0;35397,0;57166,0;51450,0;61749,0;71912,0;77322,0;85247,0;;;;
Novo Aripuanã;1303304;38842,0;37930,0;66696,0;74352,0;79571,0;57043,0;74276,0;70197,0;77642,0;85714,0;105012,0;127898,0;127434,0;;;;
Parintins;1303403;144733,0;141577,0;201003,0;212311,0;230214,0;278770,0;352951,0;348530,0;402195,0;460768,0;689670,0;667841,0;675333,0;;;;
Pauini;1303502;25638,0;28476,0;36803,0;37160,0;43416,0;39133,0;57513,0;61685,0;61797,0;69640,0;98441,0;102811,0;90932,0;;;;
Presidente Figueiredo;1303536;80172,0;90460,0;142743,0;195740,0;224037,0;314071,0;344782,0;316120,0;275560,0;304603,0;431774,0;444240,0;534005,0;;;;
Rio Preto da Eva;1303569;27771,0;29030,0;41549,0;47879,0;52063,0;90724,0;118015,0;126712,0;122936,0;216318,0;224792,0;305313,0;372879,0;;;;
Santa Isabel do Rio Negro;1303601;16579,0;20354,0;27815,0;29992,0;29923,0;24085,0;35137,0;46790,0;54683,0;56972,0;75527,0;86487,0;87198,0;;;;
Santo Antônio do Içá;1303700;31002,0;36627,0;53263,0;57269,0;61929,0;66374,0;77205,0;81855,0;85894,0;94028,0;100267,0;111182,0;118289,0;;;;
São Gabriel da Cachoeira;1303809;44635,0;47861,0;72025,0;76355,0;87413,0;99190,0;148701,0;162113,0;186358,0;202146,0;179865,0;192283,0;193264,0;;;;
São Paulo de Olivença;1303908;35240,0;39207,0;58357,0;62730,0;70536,0;64774,0;86894,0;93403,0;96380,0;109404,0;131508,0;144889,0;149044,0;;;;
São Sebastião do Uatumã;1303957;13859,0;13861,0;16310,0;17014,0;20278,0;20592,0;30195,0;33007,0;29645,0;32991,0;51171,0;64891,0;69017,0;;;;
